id,subject,question,delta_correctness,delta_completeness,delta_clarity,delta_conciseness,delta_overall
5ce2c,Chemistry,"निम्नलिखित सेल अभिक्रिया पर विचार कीजिए।

E°cell का मान 25°C पर 4.315 V है। यदि ∆H° = −825.2 kJ mol⁻¹ है, तो मानक एन्ट्रॉपी में परिवर्तन, ∆S°, J K⁻¹ में ________ है (निकटतम पूर्णांक में)

[दिया है : फैरॉडे स्थिरांक = 96487 C mol⁻¹]

The image shows a reversible chemical reaction involving cadmium (Cd), mercury sulfate (Hg₂SO₄), water (H₂O), cadmium sulfate hydrate (CdSO₄·(9/5)H₂O), and mercury (Hg). The reaction is: Cd(s) + Hg₂SO₄(s) + (9/5)H₂O(l) ⇌ CdSO₄·(9/5)H₂O(s) + 2Hg(l). The standard cell potential (E°cell) is given as 4.315 V at 25°C. The standard enthalpy change (ΔH°) is -825.2 kJ/mol. The task is to find the standard entropy change (ΔS°) in J/K. The Faraday constant is provided as 96487 C/mol.",2.0,0.0,0.0,0.0,1.5
6c588,Physics,"A triangular part is cut out from a square plate & placed in front of it as shown. Find C.O.M of new System?

The diagram shows a square plate with a triangular part cut out and placed in front of it. The square plate has a side length labeled as 'a'. The center of the square plate is marked as 'O'. The triangular part that was cut out is placed in front of the square plate, with the cut vertex touching the center 'O' of the square plate.",2.0,1.0,1.0,1.0,1.5
0f0ca,Chemistry,"Number of correct names in the given substituents are:

The image shows nine different organic substituents, each labeled with a letter from (a) to (i). Each substituent structure is accompanied by a name. The substituents are:
(a) A carbon atom bonded to two methyl groups and one hydrogen atom, named 'Ethylmethyl'.
(b) A carbon atom bonded to a methyl group, an ethyl group, and a hydrogen atom, named '1-Methylpropyl'.
(c) A carbon atom bonded to two methyl groups and a propyl group, named '2,3-Dimethylpropyl'.
(d) A butyl group with two methyl substituents on the second and third carbon atoms, named '2,3-Dimethylbutyl'.
(e) A carbon atom double-bonded to a carbon atom that is bonded to a methyl group, named 'Ethylidene'.
(f) A carbon atom double-bonded to a carbon atom that is bonded to a methyl group, named '2-Methylethenyl'.
(g) A carbon atom triple-bonded to another carbon atom that is bonded to a hydrogen atom, named 'Ethynyl'.
(h) A propyl group with a double bond between the second and third carbon atoms, named 'Prop-2-enyl'.
(i) A propyl group with a triple bond between the first and second carbon atoms, named 'Prop-1-ynyl'.",1.0,0.0,0.0,0.0,1.0
c0019,Mathematics,फलन f(x) = $cqt^{-1}log_{0.5}(x^4 - 2x^2 + 3)$ का परिसर होगा :,1.0,0.0,0.0,0.0,1.0
3fd06,Physics,"Find normal force by A and B on sphere.

A sphere of mass 10 kg is placed between two fixed supports A and B on a horizontal surface. Support A makes an angle of 30 degrees with the horizontal, while support B makes an angle of 60 degrees with the horizontal. The sphere is at rest, and the acceleration due to gravity (g) acts downwards.",1.0,0.0,2.0,0.0,1.0
6cd28,Chemistry,"For 3s-orbital

The image shows a mathematical expression for the radial wave function \(R_{3s}\) of a 3s-orbital. The expression is given by: \(R_{3s} = \frac{2}{3} \left(\frac{z}{3a_0}\right)^{3/2} \left(3 - \frac{2zr}{a_0} + \frac{2z^2r^2}{9a_0^2}\right) \times e^{-zr/3a_0}\), where \(z\) is the atomic number, \(a_0\) is the Bohr radius, and \(r\) is the radial distance.",0.0,2.0,0.0,1.0,1.0
69d0c,Chemistry,"Consider the given reaction, the product 'X' is :

The image depicts a chemical reaction scheme and multiple-choice options for the product 'X'. The reaction starts with a five-membered ring with a geminal dimethyl group attached to one carbon. This reactant is treated with CH3CHO and NaOH to yield product 'P' (major product). 'P' is then treated with (i) I2/NaOH, filter, followed by (ii) filtrate + HCl to yield product 'X'. The multiple-choice options (1-4) show variations of a five-membered ring with a geminal dimethyl group, with different functional groups (ketone, alcohol, aldehyde, carboxylic acid) attached at various positions around the ring.",1.0,1.0,1.0,0.0,1.0
07e8b,Mathematics,"Find equation of BC if

The image shows a triangle ABC. A point D with coordinates (5, 6) lies on the line segment BC. The line AB is labeled with the equation $2x + 3y = 29$, and the line AC is labeled with the equation $x + 2y = 16$.",1.0,1.0,0.0,-1.0,0.7999999999999998
75344,Physics,"यदि दो वस्तुऐ X तथा Y जिनके उत्सर्जकताएँ e_x तथा e_y और अवशोषण क्षमताएं क्रमशः A_x तथा A_y है तो-

The image shows a graph with temperature (T) on the y-axis and time (t) on the x-axis. There are two curves, labeled 'x' and 'y', both decreasing as time increases. Curve 'x' is above curve 'y' for all values of t.",1.0,-1.0,0.0,1.0,0.7999999999999998
92432,Physics,"If a boat can travel with a speed of v in still water, which of the following trips will take the least time?",1.0,2.0,0.0,-1.0,0.7999999999999998
d850e,Mathematics,lim x->0 ln sin x / (ln(-cos 3x + cosx)) का मान होगा:,0.0,0.0,0.0,2.0,0.5
2e780,Mathematics,अवकल सभीकरण $xdy - ydx = \sqrt{x^2 + y^2} dx$ का हल है:,0.0,1.0,0.0,-1.0,0.5
5898a,Chemistry,"The equilibrium constant for the reaction SO3(g) ⇌ SO2(g) + (1/2)O2(g) is Kc = 4.9 x 10^-2. The value of Kc for the reaction 2SO2 (g) + O2 (g) ⇌ 2SO3 (g) will be

The image shows two chemical equilibrium reactions involving sulfur oxides and oxygen. The first reaction is the decomposition of SO3(g) into SO2(g) and O2(g), with an equilibrium constant Kc = 4.9 x 10^-2. The second reaction is the reverse reaction, the formation of SO3(g) from SO2(g) and O2(g). The question asks for the value of Kc for the second reaction.",1.0,0.0,0.0,0.0,0.5
b5b16,Mathematics,"Find all value of θ, between 0 & π, which satisfy the equation; cosθ.cos2θ.cos3θ=1/4. \(2 + \tan x \cdot \cot \frac{x}{2} + \cot x \cdot \tan \frac{x}{2} = 0\).",0.0,0.0,0.0,2.0,0.5
e926f,Physics,"Displacement of a particle is given by $y = asin(pt + qx)$, where x represents distance in meter and t represents time in second. Which of the following statement is true?",0.0,1.0,0.0,-1.0,0.5
70b08,Chemistry,In which of the following molecular species mixing of 2s-2p orbitals does not occur,0.0,0.0,1.0,1.0,0.5
8e35b,Mathematics,"The value of the integral $\int_{0}^{n\pi + t} (|\cos x| + |\sin x|) dx$ is:

The image contains a definite integral expression. The integral is from 0 to $n\pi + t$ of the function $|\cos x| + |\sin x|$ with respect to $x$. The expression is: $\int_{0}^{n\pi + t} (|\cos x| + |\sin x|) dx$.",-1.0,0.0,1.0,2.0,0.5
85830,Chemistry,H₂ by volume and at 1100 K it contains 24% H₂ by volume then which of the statements is/are correct.,0.0,3.0,0.0,-2.0,0.5
fd31f,Chemistry,"J. प्रकाश की तरंगदैर्ध्य जो हाइड्रोजन परमाणु में एक इलेक्ट्रॉन को n = 1 से n = 2 स्तर पर उत्तेजित करने के लिए आवश्यक होगी - (h = 6.62 x 10^-34 Js तथा c = 3.0 x 10^8 ms^-1)

The image contains a mathematical equation for calculating the energy of an electron in a hydrogen atom, along with text in another language describing a problem related to the energy required to excite an electron from n=1 to n=2. The equation is E_n = -2.178 x 10^-18 (Z^2/n^2) J. The image also provides values for h (Planck's constant) and c (speed of light).",1.0,0.0,0.0,0.0,0.5
fcf67,Mathematics,A variable circle is drawn to touch the line 3x-4y = 10 and also the circle x2 + y2=4 externally then the locus of its centre is:,0.0,1.0,0.0,1.0,0.5
d14e3,Mathematics,(x^2-1)sinx \frac{dy}{dx} + [2xsinx + (x^2-1)cosx]y - (x^2-1)cosx = 0,0.0,0.0,0.0,1.0,0.2000000000000001
d192c,Mathematics,L = exp( ∫₀¹ ln(1+x) dx ),0.0,0.0,0.0,1.0,0.2000000000000001
75296,Mathematics,"A given teacher has 25 kids in her class. She takes 5 of them at a time, to zoological garden as often as she can, without taking the same 5 kids more than once. Then the number of visits, the teacher makes to the garden exceeds that of a kid by:",0.0,0.0,0.0,1.0,0.2000000000000001
15dab,Mathematics,"(viii) रेखाओं $x - y = 0, x + y = 0, x - y + 4 = 0, x + y = 4$ से निर्मित चतुर्भुज के परिवृत्त का समीकरण है?",0.0,0.0,0.0,0.0,0.2000000000000001
70ce8,Mathematics,"Limit \( \lim_{x \to \pi/2} \frac{(1-\tan{\frac{x}{2}})(1-\sin x)}{(1+\tan{\frac{x}{2}})(\pi - 2x)^3} \) is:

The image presents a limit problem involving trigonometric functions. The expression is a fraction where both the numerator and the denominator contain terms with tangent and sine functions. Specifically, the numerator has the product of \(1 - \tan(\frac{x}{2})\) and \(1 - \sin(x)\), while the denominator contains the product of \(1 + \tan(\frac{x}{2})\) and \((\pi - 2x)^3\). The limit is taken as x approaches \(\frac{\pi}{2}\).",0.0,0.0,0.0,1.0,0.2000000000000001
18308,Physics,"बन्द सिलेन्डर जो कि निम्न चित्र में दिखाया गया है, उसमें मुक्त चलायमान पिस्टन है जो चेम्बर 1 और 2 को अलग करता है। चेम्बर 1, 280 mg \(N_2\) गैस रखता है तथा चेम्बर 2, 200 mg He गैस रखता है। साम्यवस्था स्थापित होने पर \(L_2/L_1\) का अनुपात क्या होगा? (\(N_2\) और He का आण्विक भार क्रमशः 28 और 4 है).

The diagram shows a closed cylinder divided into two chambers, labeled 1 and 2, by a movable piston. Chamber 1 has a length \(L_1\), and chamber 2 has a length \(L_2\). The piston is labeled as 'पिस्टन'.",0.0,0.0,0.0,1.0,0.2000000000000001
196cf,Mathematics,"lim n sin(π/4n) cos(π/4n)
n→∞",0.0,0.0,0.0,1.0,0.2000000000000001
808c2,Physics,"A vector \(\vec{A}\) of length 10 units makes an angle of 60° with the vector \(\vec{B}\) of length 6 units. Find the magnitude of the vector difference \(\vec{A} - \vec{B}\) & the angle it makes with vector \(\vec{A}\).

The problem describes two vectors, \(\vec{A}\) and \(\vec{B}\). Vector \(\vec{A}\) has a length of 10 units, and vector \(\vec{B}\) has a length of 6 units. The angle between vector \(\vec{A}\) and vector \(\vec{B}\) is 60 degrees.",0.0,0.0,0.0,1.0,0.2000000000000001
d35a4,Chemistry,प्रभावी नाभिकीय आवेश (Zeff) के संदर्भ में निम्न में से कौनसा कथन सामान्यतः सही है :,0.0,1.0,0.0,0.0,0.2000000000000001
87c4c,Mathematics,"समीकरण \(x^2 - (a - 2)x - a - 1 = 0\) के मूलों के वर्गों के योग को न्यूनतम होने के लिए, a का मान है -

The image contains a mathematical equation and multiple-choice options. The equation is \(x^2 - (a - 2)x - a - 1 = 0\). The question asks to find the value of 'a' for which the sum of the squares of the roots is minimized. The multiple-choice options are (A) 1, (B) 0, (C) 3, and (D) 2.",0.0,0.0,0.0,1.0,0.2000000000000001
1b1f6,Physics,वस्तु A एवं B का घनत्व 1500 kg/m³ तथा 2000 kg/m³ है। ऐसा पाया गया कि 8 इकाई आयतन A की विशिष्ट ऊ इकाई आयतन B के बराबर है। तो A एवं B की विशिष्ट ऊष्मा का अनुपात बताओं।,0.0,0.0,0.0,1.0,0.2000000000000001
c6137,Physics,"The vertical height of point P above the ground is twice that of point Q. A particle is projected downward with a speed of 5 m/s from P and at the same time another particle is projected upward with the same speed from Q. Both particles reach the ground simultaneously, if PQ lie on the same vertical line then : [g = 10 m/s²]",0.0,0.0,0.0,1.0,0.2000000000000001
c6b0d,Mathematics,"If the straight lines, \(ax + amy + 1 = 0, bx + (m + 1) by + 1 = 0\) and \(cx + (m + 2)cy + 1 = 0, m≠0\) are concurrent then a, b, c are in:",0.0,0.0,1.0,1.0,0.2000000000000001
855f6,Physics,"Let the resultant of three forces of magnitude 5N, 12N & 13N acting on a body be zero. If sin 23º = (5/13), find the angle between the 5N force & 13N force.",0.0,0.0,0.0,1.0,0.2000000000000001
17e8b,Mathematics,"For any parabola focus is (2, 1) and directrix is 2x - 3y + 1 = 0, then equation of the latus rectum is:",0.0,0.0,0.0,1.0,0.2000000000000001
90d13,Mathematics,"माना S = {√n: 1≤ n ≤ 50 तथा n विषम है} माना a ∈ S तथा A = [[1, 0, a], [-1, 1, 0], [-a, 0, 1]] हैं। यदि ∑ det (adj A) = 100λ है, तो λ बराबर है :

The image contains a mathematical problem involving a set S, a matrix A, and a summation. The set S is defined as the set of square roots of odd integers n, where n ranges from 1 to 50. A 3x3 matrix A is given, with elements that include a variable 'a' which belongs to the set S. The problem involves calculating the sum of the determinants of the adjugate of matrix A, where 'a' takes on values from the set S. This sum is equated to 100λ, and the task is to find the value of λ.",0.0,0.0,0.0,1.0,0.2000000000000001
eac5b,Physics,"A block of mass 100 g is moved with a speed of 5.0 m/s at the highest point in a closed circular tube of radius 10 cm kept in a vertical plane. The cross-section of the tube is such that the block just fits in it. The block makes several oscillations inside the tube and finally stops at the lowest point. Find the work done by the tube on the block during the process.

A block of mass 100 g is moving inside a closed circular tube of radius 10 cm kept in a vertical plane. The block makes several oscillations inside the tube and finally stops at the lowest point.",0.0,0.0,0.0,1.0,0.2000000000000001
eaa55,Mathematics,"If $\log_3[\log_4(x^2-12)]> 0$, then x lies in the interval:",0.0,0.0,0.0,1.0,0.2000000000000001
98125,Physics,"(i) Find velocity at t = 1, 2, 4, 6, 8.5 second
(ii) Determine the sign of acceleration (+ve, -ve or 0) at t = 6, 8.5, 10 second.
(iii) Displacement from 0-2 sec, 0-4 sec, 2 - 8 sec and 2-9 sec.
(iv) Find average velocity from 0-2 sec, 0-4 sec, 2-8 sec and 2-9 sec.
(v) Draw velocity vs time graph for 0-9 second.
(vi) Draw speed vs time graph for 0 - 9 second.
(vii) Find total distance travelled from 0 to 9 second.

The graph shows the position vs time of a particle moving along the x-axis. The x-axis represents the position in meters, and the y-axis represents the time in seconds. The graph starts at x=10m at t=0s. From t=0s to t=2s, the graph is a straight line with a negative slope. From t=2s to t=4s, the graph is a horizontal line. From t=4s to t=8s, the graph is a straight line with a positive slope. From t=8s to t=9s, the graph is a straight line with a positive slope. From t=9s to t=10s, the graph is a curve.",0.0,0.0,0.0,0.0,0.2000000000000001
da6f2,Mathematics,"If \(\lim_{x \to 0} \frac{4^{3x}-4^{2x}}{x} = (\ln N)(\ln \frac{3}{2})\), then N is equal to:",0.0,0.0,0.0,1.0,0.2000000000000001
ec53c,Mathematics,Find all the values of θ satisfying the equation. Find all values of θ between 0° and 180° satisfying the equation. The positive integer value of n > 3 satisfying the equation  $\frac{1}{sin(\frac{\pi}{n})} = \frac{1}{sin(\frac{2\pi}{n})} + \frac{1}{sin(\frac{3\pi}{n})}$ is.,0.0,0.0,0.0,1.0,0.2000000000000001
eff0b,Mathematics,"If the system of equations
2x + 3y - z = 5
x + ay+3z = -4
3x - y + βz = 7
has infinitely many solutions, then 13αβ is equal to :

The image presents a system of three linear equations with three variables (x, y, z). The equations are: 2x + 3y - z = 5, x + αy + 3z = -4, and 3x - y + βz = 7. The question asks to find the value of 13αβ, given that the system has infinitely many solutions.",0.0,0.0,0.0,1.0,0.2000000000000001
3621d,Mathematics,"माना A = $\begin{bmatrix} 0 & -2 \ 2 & 0 \end{bmatrix}$ है। यदि दो आव्यूह M तथा N, M = $\sum_{k=1}^{10} A^{2k}$ तथा N = $\sum_{k=1}^{10} A^{2k-1}$ द्वारा दिए गए हैं, तो $MN^2$:

The image presents a matrix problem. It defines a 2x2 matrix A as follows: A = [[0, -2], [2, 0]]. Additionally, it introduces two matrices M and N, defined using summation notation involving powers of A. Specifically, M is the sum of A^(2k) from k=1 to 10, and N is the sum of A^(2k-1) from k=1 to 10. The problem asks to find MN^2.",0.0,0.0,0.0,1.0,0.2000000000000001
cdf6c,Mathematics,"$\int_{\alpha}^{\beta} \frac{dx}{\sqrt{(x-\alpha)(\beta-x)}} = \frac{\pi}{\sqrt{\alpha\beta}}$ where $\alpha, \beta > 0$

The image shows a definite integral equation. The integral is from α to β of the function dx divided by the square root of (x-α)(β-x), which equals π divided by the square root of αβ. It is given that α and β are greater than 0.",0.0,0.0,0.0,0.0,0.2000000000000001
95cb5,Chemistry,"The density of an equilibrium mixture of N₂O₄ and NO₂ at 1 atm and 625 K is 1.15 g/L. Calculate Kₚ for the equilibrium, N₂O₄(g) ⇌ 2NO₂(g). [R = 0.08 L-atm/mol-K] Calculate the vapour density of PH₃ at 300 K & 2.5 atm

The image shows a chemical equilibrium reaction between dinitrogen tetroxide (N2O4) and nitrogen dioxide (NO2). The reaction is represented as N2O4(g) in equilibrium with 2NO2(g). The problem provides the density of an equilibrium mixture of N2O4 and NO2 at 1 atm and 625 K as 1.15 g/L and asks to calculate Kp for the equilibrium. The value of R is given as 0.08 L atm/mol-K.",0.0,0.0,0.0,0.0,0.2000000000000001
5f9a0,Mathematics,"यदि समीकरण $ax^2 + x + b = 0$ के मूल वास्तविक तथा भिन्न हों, तो समीकरण $x^2 - 4\sqrt{ab}x + 1 = 0$ के मूल होंगे",0.0,1.0,0.0,-1.0,0.1
beffe,Mathematics,"मानक अतिपरवलय पर स्थित बिंदु P(α) तथा Q(β) पर खींची गई स्पर्श रेखाओं का प्रतिच्छेदन बिंदु ज्ञात कीजिए।
अतिपरवलय \(\frac{x^2}{9} - \frac{y^2}{16} = 1\) की स्पर्श रेखा का समीकरण ज्ञात कीजिए जो (0,4) से गुजरती है।",0.0,0.0,0.0,1.0,0.1
bcd3c,Physics,"Figure shows three different arrangements of materials 1, 2 and 3 to form a wall. Thermal conductivities are k₁ > k₂ > k₃. The left side of the wall is 20°C higher than the right side. Temperature difference ΔT across the material 1 has following relation in three cases :

The figure shows three different arrangements of materials 1, 2, and 3 to form a wall. The thermal conductivities are such that k1 > k2 > k3. The left side of the wall is 20 degrees Celsius higher than the right side. There are three cases, labeled a, b, and c. In case a, the arrangement of the materials from left to right is 1, 2, 3. In case b, the arrangement is 1, 3, 2. In case c, the arrangement is 3, 1, 2.",0.0,0.0,0.0,0.0,0.1
f772e,Physics,"Voltage time graph of different source is given which one will have R. M. S. value V0:

The image contains four voltage-time graphs, labeled (A), (B), (C), and (D). Each graph plots voltage (V) on the vertical axis against time (t) on the horizontal axis. Graph (A) shows a square wave oscillating between V0 and -V0, with transitions at T/2, T, and 3T/2. Graph (B) shows a triangular wave oscillating between V0 and -V0, with peaks at T/2, 3T/2, and 2T. Graph (C) shows a sinusoidal wave with a peak voltage of 2V0, described by the equation V = 2V0*sin(ωt). Graph (D) shows a sawtooth wave with peaks at 4V0, repeating with a period of T.",0.0,0.0,0.0,1.0,0.1
d14d6,Mathematics,x^{\log_{10}x} = \frac{100}{x},0.0,0.0,0.0,0.0,0.1
185bb,Mathematics,x cos (y/x) dy/dx = y cos(y/x) +x.,0.0,0.0,0.0,0.0,0.0
19b21,Mathematics,(i) $\lim_{n \to \infty} n \sin(\frac{\pi}{4n}) \cos(\frac{\pi}{4n})$ (ii) $\lim_{x \to 0} \frac{\sin x^\circ}{x}$,0.0,0.0,0.0,0.0,0.0
19c40,Mathematics,Let p(x) = x2 – 2x + 2 and a be the root of equation p(p(p(p(x)))) = 0 then the absolute value of (p(a) – 2) p(a) p(p(a)) p(p(p(a))) + 5 is equal to _______.,0.0,0.0,0.0,0.0,0.0
1b257,Physics,The speed of A after he rolls the ball for the first time is :,0.0,0.0,0.0,0.0,0.0
e4b88,Mathematics,"Number of natural numbers less than 1000 and divisible by 5 can be formed with the ten digits, each digit not occuring more than once in each number is _______.",0.0,0.0,0.0,0.0,0.0
e5692,Physics,"In a particular system of unit, if the unit of mass becomes twice & that of time becomes half, then 8/ will be written as ________ units of work",0.0,0.0,0.0,0.0,0.0
e59e0,Physics,"The Young's modulus of a material of wire is 12.6 x 10^11 dyne/cm^2, its value in MKS system is:",0.0,0.0,0.0,0.0,0.0
e700f,Mathematics,"Number of odd integers between 1000 and 8000 which have none of their digits repeated, is:",0.0,0.0,0.0,0.0,0.0
e76e9,Mathematics,"Let \( \lambda \neq 0 \) be a real number. Let \( \alpha, \beta \) be the roots of the equation \( 14x^2 - 31x + 3\lambda = 0 \) and \( \alpha, \gamma \) be the roots of the equation \( 35x^2 - 53x + 4\lambda = 0 \). Then \( \frac{3\alpha}{\beta} \) and \( \frac{4\alpha}{\gamma} \) are the roots of the equation

The image contains mathematical equations and expressions. It states that \( \lambda \neq 0 \) is a real number. \( \alpha \) and \( \beta \) are the roots of the quadratic equation \( 14x^2 - 31x + 3\lambda = 0 \), and \( \alpha \) and \( \gamma \) are the roots of the quadratic equation \( 35x^2 - 53x + 4\lambda = 0 \). The problem asks to find the equation whose roots are \( \frac{3\alpha}{\beta} \) and \( \frac{4\alpha}{\gamma} \).",0.0,0.0,0.0,0.0,0.0
e8417,Mathematics,6. [O] cos y = ae,0.0,0.0,0.0,0.0,0.0
e8bc0,Mathematics,"माना A = $\begin{bmatrix} 0 & 1 & 0 \\ 1 & 0 & 0 \\ 0 & 0 & 1 \end{bmatrix}$ एक 3 × 3 आव्यूह है। तो 3 × 3 आव्यूहों B, जिनकी प्रविष्टियाँ, समुच्चय, {1, 2, 3, 4, 5} से हैं तथा जो AB = BA को संतुष्ट करते हैं, की संख्या

The image presents a mathematical problem involving matrices. It defines a 3x3 matrix A with specific entries and asks to find the number of 3x3 matrices B with entries from the set {1, 2, 3, 4, 5} such that AB = BA.",0.0,0.0,0.0,0.0,0.0
ea47f,Physics,"Initially system is at equilibrium, then find acceleration of each block just after cutting.

The diagram shows a system of two blocks suspended vertically. A 10kg block is connected to a spring at the top, which is attached to a ceiling. The 10kg block is further connected to a 20kg block via a string. The spring is vertical and appears to be in an extended state due to the weight of the blocks.",0.0,0.0,0.0,0.0,0.0
20181,Physics,If magnetic field passing through a coil of area 0.1 m2 is changing according to the equation $$\(B = 10\sin \left( {\frac{{2\pi t}}{3}} \right)\)$$ tesla. Find the magnitude of induced emf at t = 0.5s,0.0,0.0,0.0,0.0,0.0
212cb,Mathematics,यदि cos x + cos y + cos z = 0 = sinx + sin y + sin z तब cos (x-y)/2 का सम्भावित मान है,0.0,0.0,0.0,0.0,0.0
22cc2,Physics,"एक परमाणु में एक इलेक्ट्रॉन 600 m/s की चाल के साथ घूम रहा है जिसकी गति को 0.005% यथार्थता के अन्दर मापा जा सकता है। इलेक्ट्रॉन के स्थिति का जिस निश्चितता के साथ पता लगाया जा सकता है वह है (h=6.6 \times 10^{-34} J sec, इलेक्ट्रॉन की द्रव्यमान, m_e =9.1 \times 10^{-31} kg ).",0.0,0.0,0.0,0.0,0.0
232e9,Physics,दो समानान्तर लम्बे तारों में प्रवाहित धाराओं का मान i₁ तथा i₂ है जहाँ i₁ > i₂ है। जब दोनों तारों में एक ही दिशा में धारा प्रवाहित होती है तो तारों के बीच की दूरी के मध्य बिन्दु पर विद्युत क्षेत्र का मान 30 µT है यदि दोनों तारों में धारा विपरित दिशा में प्रवाहित की जाती है तो यह चुम्बकीय क्षेत्र 90µT हो जाता है तो i₁/i₂ का अनुपात ज्ञात करो।,0.0,0.0,0.0,0.0,0.0
24208,Physics,"Two friends A and B (each weighing 40 kg) are sitting on a frictionless platform some distance d apart. A rolls a ball of mass 4 kg on the platform towards B, which B catches. Then B rolls the ball towards A and A catches it. The ball keeps on moving back and forth between A and B. The ball has a fixed speed of 5 m/s on the platform.
The speed of A after he rolls the ball for the first time is :
The speed of A after he catches the ball for the first time is :
The speeds of A and B after the ball has made 4 round trips and is held by A are :",0.0,0.0,0.0,0.0,0.0
24814,Mathematics,"lim
x→0 (1 - cos³x) / (x sin 2x)",0.0,0.0,0.0,0.0,0.0
24f98,Mathematics,"From a point 'P' on the line \(2x + y + 4 = 0\); which is nearest to the circle \(x^2 + y^2 - 12y + 35 = 0\) tangents are drawn to given circle. The area of quadrilateral PACB (where 'C' is the center of circle and PA & PB are the tangents.) is :

The image presents a problem involving a circle and a line. The equation of the line is given as \(2x + y + 4 = 0\), and the equation of the circle is \(x^2 + y^2 - 12y + 35 = 0\). A point 'P' lies on the line, and tangents PA and PB are drawn from point P to the circle, where A and B are the points of tangency on the circle. The center of the circle is labeled as 'C'. The problem asks to find the area of quadrilateral PACB.",0.0,0.0,0.0,0.0,0.0
